Replace Part * TAPLFO3C in E:\GitHub\Tremolo\TAPLFO.SchDoc with TAPLFO3C from Parts.SchLib
Replace Part C7 Cap in E:\GitHub\Tremolo\TAPLFO.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part D3 LED0 in E:\GitHub\Tremolo\TAPLFO.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part D4 LED0 in E:\GitHub\Tremolo\TAPLFO.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part D5 LED0 in E:\GitHub\Tremolo\TAPLFO.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part Q3 2N3906 in E:\GitHub\Tremolo\TAPLFO.SchDoc with 2N3906 from Miscellaneous Devices.IntLib
Replace Part Q4 2N3904 in E:\GitHub\Tremolo\TAPLFO.SchDoc with 2N3904 from Miscellaneous Devices.IntLib
Replace Part R19 Res1 in E:\GitHub\Tremolo\TAPLFO.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R20 Res1 in E:\GitHub\Tremolo\TAPLFO.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R21 Res1 in E:\GitHub\Tremolo\TAPLFO.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R22 Res1 in E:\GitHub\Tremolo\TAPLFO.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R23 Res1 in E:\GitHub\Tremolo\TAPLFO.SchDoc with Res1 from Miscellaneous Devices.IntLib
