Source:,E:\Pinebox\Tremolo\Boards\Analog_Board\AnalogBoard_Rev0\AnalogBoard_Rev0.sch,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/3/2020 22:01,,,,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,101,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,,,,,,,,,,,,,,,,,,
,,C1,47n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C2,47n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C3,100uF,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,,,,,,,,,,,,,,
,,C4,1n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C5,1n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C6,100uF,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,,,,,,,,,,,,,,
,,C7,1n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C8,1n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C9,100uF,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,,,,,,,,,,,,,,
,,C10,4.7u,Device:C,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,,,,,,,,,,,,,,
,,C11,47u,Device:C,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,,,,,,,,,,,,,,
,,C12,470n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C13,470n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,,,,,,,,,,,,,,,,,,,
,,C14,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C15,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C16,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C17,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C18,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C19,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C20,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
,,C21,100n,MF_Passives:CAPACITOR_NP_0603,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,,,,,,,,,,,,,,,,,
